instance;numRes;cmax;tminSGS;tmin;tmax;networkComplexity;resourceFactor;resourceStrength
j12015_7;4;877.5;75;75;82;1.5;0.737705;0.504386
j12015_8;4;713.5;126;126;126;1.5;0.737705;0.498288
j12015_9;4;585;109;109;109;1.5;0.737705;0.501506
j12016_1;4;4436;152;71;243;1.5;0.983607;0.0983619
j12016_10;4;4085.5;177;98;269;1.5;0.983607;0.101289
j12016_2;4;4718.5;177;85;291;1.5;0.983607;0.102514
j12016_3;4;5022;185;97;287;1.5;0.983607;0.10059
j12016_4;4;4122.5;157;80;247;1.5;0.983607;0.101114
j12016_5;4;4073;173;92;251;1.5;0.983607;0.103345
j12016_6;4;4657;164;79;256;1.5;0.983607;0.100311
j12016_7;4;4266.5;151;90;230;1.5;0.983607;0.100505
j12016_8;4;4387;162;77;241;1.5;0.983607;0.0996339
j12016_9;4;4482;162;88;251;1.5;0.983607;0.103137
j12017_1;4;3592;122;87;176;1.5;0.983607;0.201845
j12017_10;4;3759.5;115;88;166;1.5;0.983607;0.201313
j12017_2;4;3476.5;105;74;153;1.5;0.983607;0.200568
j12017_3;4;3204;94;72;127;1.5;0.983607;0.201273
j12017_4;4;3345.5;117;91;149;1.5;0.983607;0.197516
j12017_5;4;2916.5;119;90;163;1.5;0.983607;0.201306
j12017_6;4;3556.5;111;68;158;1.5;0.983607;0.200055
j12017_7;4;3601.5;123;98;176;1.5;0.983607;0.200032
j12017_8;4;3307.5;108;73;149;1.5;0.983607;0.199921
j12017_9;4;3301;121;81;169;1.5;0.983607;0.200011
j12018_1;4;2350;115;101;163;1.5;0.983607;0.299449
j12018_10;4;2484;103;84;131;1.5;0.983607;0.301061
j12018_2;4;1857.5;116;111;147;1.5;0.983607;0.297508
j12018_3;4;2516.5;87;72;122;1.5;0.983607;0.300448
j12018_4;4;2315;101;77;130;1.5;0.983607;0.303498
j12018_5;4;2903;103;88;141;1.5;0.983607;0.299185
j12018_6;4;1961;120;108;155;1.5;0.983607;0.302978
j12018_7;4;2769.5;116;89;149;1.5;0.983607;0.299349
j12018_8;4;2499.5;92;88;123;1.5;0.983607;0.29847
j12018_9;4;2226.5;84;76;109;1.5;0.983607;0.301822
j12019_1;4;1918;92;88;109;1.5;0.983607;0.398786
j12019_10;4;1696;88;88;98;1.5;0.983607;0.400398
j12019_2;4;2001.5;81;81;96;1.5;0.983607;0.400906
j12019_3;4;1721;77;72;94;1.5;0.983607;0.400543
j12019_4;4;1598.5;100;92;133;1.5;0.983607;0.397945
j12019_5;4;1986.5;96;85;125;1.5;0.983607;0.402573
j12019_6;4;1906.5;87;80;106;1.5;0.983607;0.401871
j12019_7;4;1698.5;93;93;111;1.5;0.983607;0.401223
j12019_8;4;2030.5;93;93;112;1.5;0.983607;0.400025
j12019_9;4;1592.5;80;75;107;1.5;0.983607;0.397261
j1201_1;4;536;99;99;123;1.5;0.245902;0.0969794
j1201_10;4;618;110;89;140;1.5;0.245902;0.105391
j1201_2;4;529;100;86;140;1.5;0.245902;0.106349
j1201_3;4;622;107;82;148;1.5;0.245902;0.0954861
j1201_4;4;578.5;91;79;116;1.5;0.245902;0.0916193
j1201_5;4;538.5;110;94;134;1.5;0.245902;0.110532
j1201_6;4;492.5;77;65;100;1.5;0.245902;0.0985014
j1201_7;4;371;107;98;137;1.5;0.245902;0.0998764
j1201_8;4;510.5;93;85;126;1.5;0.245902;0.105701
j1201_9;4;539.5;100;89;147;1.5;0.245902;0.107656
j12020_1;4;1252;89;89;104;1.5;0.983607;0.502943
j12020_10;4;1456;81;81;93;1.5;0.983607;0.501194
j12020_2;4;952;99;99;116;1.5;0.983607;0.504245
j12020_3;4;1474.5;74;74;95;1.5;0.983607;0.500078
j12020_4;4;1174;89;89;95;1.5;0.983607;0.496283
j12020_5;4;1157;69;69;83;1.5;0.983607;0.503248
j12020_6;4;1301;80;80;86;1.5;0.983607;0.501214
j12020_7;4;1132;81;81;84;1.5;0.983607;0.497565
j12020_8;4;886;107;107;133;1.5;0.983607;0.499659
j12020_9;4;1184.5;88;80;105;1.5;0.983607;0.498113
j12021_1;4;537.5;104;98;150;1.80328;0.245902;0.104753
j12021_10;4;519.5;99;87;129;1.80328;0.245902;0.0976427
j12021_2;4;493.5;95;87;130;1.80328;0.245902;0.0923295
j12021_3;4;535.5;128;111;160;1.80328;0.245902;0.0889086
j12021_4;4;598.5;115;111;155;1.80328;0.245902;0.102101
j12021_5;4;374.5;104;95;152;1.80328;0.245902;0.109967
j12021_6;4;519;99;97;144;1.80328;0.245902;0.097697
j12021_7;4;556.5;102;79;134;1.80328;0.245902;0.0979128
j12021_8;4;409.5;135;121;158;1.80328;0.245902;0.0959181
j12021_9;4;477;101;86;133;1.80328;0.245902;0.103924
j12022_1;4;509.5;101;83;135;1.80328;0.245902;0.199186
j12022_10;4;319;71;71;90;1.80328;0.245902;0.207517
j12022_2;4;391;105;104;120;1.80328;0.245902;0.195823
j12022_3;4;424.5;92;83;112;1.80328;0.245902;0.205152
j12022_4;4;374.5;80;79;100;1.80328;0.245902;0.200321
j12022_5;4;439.5;93;93;117;1.80328;0.245902;0.197947
j12022_6;4;343;93;93;120;1.80328;0.245902;0.196971
j12022_7;4;266.5;131;124;148;1.80328;0.245902;0.198086
j12022_8;4;513;98;93;123;1.80328;0.245902;0.200718
j12022_9;4;392.5;114;91;143;1.80328;0.245902;0.200035
j12023_1;4;289;107;107;117;1.80328;0.245902;0.305712
j12023_10;4;343;100;100;106;1.80328;0.245902;0.310387
j12023_2;4;216;116;116;126;1.80328;0.245902;0.309307
j12023_3;4;175;99;99;105;1.80328;0.245902;0.289947
j12023_4;4;208.5;103;103;113;1.80328;0.245902;0.307292
j12023_5;4;217;96;96;117;1.80328;0.245902;0.313559
j12023_6;4;284;116;103;133;1.80328;0.245902;0.310247
j12023_7;4;288.5;107;104;118;1.80328;0.245902;0.290543
j12023_8;4;206.5;100;100;108;1.80328;0.245902;0.297979
j12023_9;4;254;108;105;121;1.80328;0.245902;0.311685
j12024_1;4;182.5;92;92;102;1.80328;0.245902;0.403428
j12024_10;4;228;91;91;98;1.80328;0.245902;0.390422
j12024_2;4;116;91;91;106;1.80328;0.245902;0.40318
j12024_3;4;191;90;89;102;1.80328;0.245902;0.403383
j12024_4;4;183;101;101;110;1.80328;0.245902;0.391897
j12024_5;4;157;86;86;95;1.80328;0.245902;0.397012
j12024_6;4;185;95;95;101;1.80328;0.245902;0.401304
j12024_7;4;164;109;109;118;1.80328;0.245902;0.40667
j12024_8;4;177.5;104;104;110;1.80328;0.245902;0.390524
j12024_9;4;141.5;76;76;89;1.80328;0.245902;0.402853
j12025_1;4;123;82;82;90;1.80328;0.245902;0.500435
j12025_10;4;122;92;92;102;1.80328;0.245902;0.501579
j12025_2;4;107.5;108;108;108;1.80328;0.245902;0.495
j12025_3;4;134;100;100;100;1.80328;0.245902;0.516927
j12025_4;4;107.5;117;117;123;1.80328;0.245902;0.501579
j12025_5;4;94;100;100;100;1.80328;0.245902;0.489048
j12025_6;4;97;91;91;99;1.80328;0.245902;0.50463
j12025_7;4;128.5;91;91;103;1.80328;0.245902;0.495045
j12025_8;4;174;77;76;92;1.80328;0.245902;0.505435
j12025_9;4;110.5;94;94;94;1.80328;0.245902;0.500482
j12026_1;4;1744;139;96;214;1.80328;0.493852;0.0992087
j12026_10;4;1332;153;122;235;1.80328;0.493852;0.0978526
j12026_2;4;1358.5;151;97;227;1.80328;0.493852;0.103326
j12026_3;4;1502;136;93;218;1.80328;0.493852;0.103378
j12026_4;4;1703.5;153;108;214;1.80328;0.493852;0.105878
j12026_5;4;1486.5;128;81;192;1.80328;0.493852;0.101929
j12026_6;4;1428;174;122;246;1.80328;0.493852;0.0998172
j12026_7;4;1419.5;149;83;231;1.80328;0.493852;0.105163
j12026_8;4;1271;139;105;230;1.80328;0.493852;0.0982688
j12026_9;4;1601.5;153;124;235;1.80328;0.493852;0.101275
j12027_1;4;1371;98;77;138;1.80328;0.493852;0.196105
j12027_10;4;1263.5;114;105;141;1.80328;0.493852;0.206335
j12027_2;4;903.5;104;87;140;1.80328;0.493852;0.194916
j12027_3;4;1036.5;124;98;174;1.80328;0.493852;0.200984
j12027_4;4;1129.5;101;85;132;1.80328;0.493852;0.200781
j12027_5;4;830.5;105;89;142;1.80328;0.493852;0.204744
j12027_6;4;1543;136;97;191;1.80328;0.493852;0.197238
j12027_7;4;1096;129;100;175;1.80328;0.493852;0.20227
j12027_8;4;1310.5;126;108;177;1.80328;0.493852;0.201334
j12027_9;4;1161.5;114;95;161;1.80328;0.493852;0.203003
j12028_1;4;1022.5;112;98;139;1.80328;0.493852;0.305948
j12028_10;4;600;113;109;143;1.80328;0.493852;0.294501
j12028_2;4;588.5;110;110;140;1.80328;0.493852;0.307222
j12028_3;4;724;111;101;120;1.80328;0.493852;0.302691
j12028_4;4;738;106;103;140;1.80328;0.493852;0.302505
j12028_5;4;492;102;102;121;1.80328;0.493852;0.307692
j12028_6;4;862;103;103;127;1.80328;0.493852;0.301468
j12028_7;4;911.5;112;97;134;1.80328;0.493852;0.303307
j12028_8;4;654;102;87;130;1.80328;0.493852;0.3017
j12028_9;4;772;97;93;119;1.80328;0.493852;0.302811
j12029_1;4;592;109;104;118;1.80328;0.493852;0.403526
j12029_10;4;419.5;96;96;107;1.80328;0.493852;0.402041
j12029_2;4;450;91;91;110;1.80328;0.493852;0.400713
j12029_3;4;661;88;80;124;1.80328;0.493852;0.399061
j12029_4;4;502.5;83;77;95;1.80328;0.493852;0.399512
j12029_5;4;540;102;102;123;1.80328;0.493852;0.399722
j12029_6;4;595;90;88;114;1.80328;0.493852;0.397576
j12029_7;4;400;97;97;102;1.80328;0.493852;0.4053
j12029_8;4;472;80;80;97;1.80328;0.493852;0.397317
j12029_9;4;402;97;97;110;1.80328;0.493852;0.404672
j1202_1;4;564.5;85;70;104;1.5;0.245902;0.197971
j1202_10;4;584;91;79;125;1.5;0.245902;0.199282
j1202_2;4;312.5;76;73;93;1.5;0.245902;0.201465
j1202_3;4;622;87;78;119;1.5;0.245902;0.204568
j1202_4;4;325;95;88;118;1.5;0.245902;0.204715
j1202_5;4;449.5;96;91;123;1.5;0.245902;0.196104
j1202_6;4;468.5;90;75;120;1.5;0.245902;0.199083
j1202_7;4;399.5;94;84;109;1.5;0.245902;0.199797
j1202_8;4;359;91;77;119;1.5;0.245902;0.198271
j1202_9;4;388;93;92;121;1.5;0.245902;0.196624
j12030_1;4;404.5;102;102;116;1.80328;0.493852;0.497807
j12030_10;4;363.5;86;86;100;1.80328;0.493852;0.502
j12030_2;4;378;112;112;118;1.80328;0.493852;0.49569
j12030_3;4;291;108;108;111;1.80328;0.493852;0.497479
j12030_4;4;322.5;83;83;91;1.80328;0.493852;0.497523
j12030_5;4;427;81;81;106;1.80328;0.493852;0.492641
j12030_6;4;385.5;81;79;89;1.80328;0.493852;0.498058
j12030_7;4;364.5;94;93;113;1.80328;0.493852;0.501614
j12030_8;4;438;86;79;96;1.80328;0.493852;0.496833
j12030_9;4;374;93;93;98;1.80328;0.493852;0.498894
j12031_1;4;2842;168;92;254;1.80328;0.737705;0.0974485
j12031_10;4;3088;187;90;305;1.80328;0.737705;0.100699
j12031_2;4;2932.5;156;82;250;1.80328;0.737705;0.0997262
j12031_3;4;2620;146;80;216;1.80328;0.737705;0.104999
j12031_4;4;2444.5;169;112;276;1.80328;0.737705;0.101612
j12031_5;4;3042.5;176;97;267;1.80328;0.737705;0.0997933
j12031_6;4;3047;162;101;233;1.80328;0.737705;0.101105
j12031_7;4;2707.5;171;110;260;1.80328;0.737705;0.101183
j12031_8;4;2986;167;92;244;1.80328;0.737705;0.10259
j12031_9;4;3025;165;99;240;1.80328;0.737705;0.0996723
j12032_1;4;1775;122;99;181;1.80328;0.737705;0.200077
j12032_10;4;2086;118;91;165;1.80328;0.737705;0.197367
j12032_2;4;1794.5;127;100;171;1.80328;0.737705;0.1957
j12032_3;4;1944.5;132;101;184;1.80328;0.737705;0.198421
j12032_4;4;1744;129;108;169;1.80328;0.737705;0.200083
j12032_5;4;1799.5;123;99;171;1.80328;0.737705;0.202599
j12032_6;4;1658.5;121;94;161;1.80328;0.737705;0.201681
j12032_7;4;1865;129;104;158;1.80328;0.737705;0.199087
j12032_8;4;2196.5;117;81;159;1.80328;0.737705;0.198257
j12032_9;4;2082.5;111;86;155;1.80328;0.737705;0.200735
j12033_1;4;1030.5;113;99;143;1.80328;0.737705;0.301953
j12033_10;4;1571;96;88;132;1.80328;0.737705;0.298876
j12033_2;4;1267;101;92;139;1.80328;0.737705;0.297667
j12033_3;4;1658;100;88;143;1.80328;0.737705;0.299068
j12033_4;4;1203;98;97;145;1.80328;0.737705;0.304226
j12033_5;4;1611.5;129;108;182;1.80328;0.737705;0.303165
j12033_6;4;954;115;115;141;1.80328;0.737705;0.296822
j12033_7;4;1654;110;93;150;1.80328;0.737705;0.299274
j12033_8;4;1592.5;98;90;142;1.80328;0.737705;0.300374
j12033_9;4;1385;116;102;148;1.80328;0.737705;0.299327
j12034_1;4;1341.5;84;72;106;1.80328;0.737705;0.403702
j12034_10;4;1126.5;101;101;117;1.80328;0.737705;0.401421
j12034_2;4;1219.5;104;95;128;1.80328;0.737705;0.399916
j12034_3;4;914.5;102;94;132;1.80328;0.737705;0.400125
j12034_4;4;988.5;104;94;122;1.80328;0.737705;0.401841
j12034_5;4;905;101;99;125;1.80328;0.737705;0.396699
j12034_6;4;1200.5;112;100;130;1.80328;0.737705;0.399537
j12034_7;4;843;105;105;127;1.80328;0.737705;0.396818
j12034_8;4;1099;89;81;112;1.80328;0.737705;0.403397
j12034_9;4;1220;84;83;113;1.80328;0.737705;0.399655
j12035_1;4;657.5;87;87;97;1.80328;0.737705;0.503173
j12035_10;4;668.5;86;86;96;1.80328;0.737705;0.496833
j12035_2;4;708.5;117;111;143;1.80328;0.737705;0.4999
j12035_3;4;890.5;78;77;98;1.80328;0.737705;0.500048
j12035_4;4;602;101;101;121;1.80328;0.737705;0.493041
j12035_5;4;735.5;101;92;116;1.80328;0.737705;0.498983
j12035_6;4;607;86;86;100;1.80328;0.737705;0.5
j12035_7;4;531.5;99;99;114;1.80328;0.737705;0.499744
j12035_8;4;593;101;101;121;1.80328;0.737705;0.499791
j12035_9;4;740;91;91;110;1.80328;0.737705;0.502143
j12036_1;4;3935;173;98;258;1.80328;0.983607;0.102681
j12036_10;4;4174;171;91;269;1.80328;0.983607;0.100462
j12036_2;4;4376.5;178;89;273;1.80328;0.983607;0.0979331
j12036_3;4;4361.5;183;91;280;1.80328;0.983607;0.101354
j12036_4;4;4090;197;96;300;1.80328;0.983607;0.0970052
j12036_5;4;4162.5;183;95;272;1.80328;0.983607;0.101678
j12036_6;4;4219.5;183;101;286;1.80328;0.983607;0.10272
j12036_7;4;3921.5;164;103;253;1.80328;0.983607;0.103496
j12036_8;4;3470.5;137;83;206;1.80328;0.983607;0.102484
j12036_9;4;3552.5;180;104;272;1.80328;0.983607;0.10093
j12037_1;4;2889.5;131;96;176;1.80328;0.983607;0.20195
j12037_10;4;2824;113;80;159;1.80328;0.983607;0.200033
j12037_2;4;2836;124;86;173;1.80328;0.983607;0.198957
j12037_3;4;2312.5;114;101;173;1.80328;0.983607;0.200469
j12037_4;4;3606;138;95;198;1.80328;0.983607;0.198821
j12037_5;4;3374.5;163;114;248;1.80328;0.983607;0.196075
j12037_6;4;3183;153;105;212;1.80328;0.983607;0.199157
j12037_7;4;3554;127;82;199;1.80328;0.983607;0.201408
j12037_8;4;3227.5;158;116;218;1.80328;0.983607;0.200703
j12037_9;4;3570.5;132;82;182;1.80328;0.983607;0.198559
j12038_1;4;1828;112;103;140;1.80328;0.983607;0.299427
j12038_10;4;2463.5;119;96;162;1.80328;0.983607;0.302485
j12038_2;4;2177.5;110;92;149;1.80328;0.983607;0.303233
j12038_3;4;2359.5;128;105;176;1.80328;0.983607;0.2989
j12038_4;4;2267.5;140;116;183;1.80328;0.983607;0.300935
j12038_5;4;1918.5;98;95;137;1.80328;0.983607;0.299551
j12038_6;4;2816;103;95;143;1.80328;0.983607;0.301667
j12038_7;4;2239;105;91;141;1.80328;0.983607;0.298297
j12038_8;4;2138;119;98;153;1.80328;0.983607;0.300022
j12038_9;4;2008;134;134;166;1.80328;0.983607;0.300883
j12039_1;4;1434.5;99;95;121;1.80328;0.983607;0.40234
j12039_10;4;1438.5;107;99;135;1.80328;0.983607;0.399179
j12039_2;4;1491.5;115;104;133;1.80328;0.983607;0.39858
j12039_3;4;1570;102;100;136;1.80328;0.983607;0.405468
j12039_4;4;2039.5;93;76;120;1.80328;0.983607;0.398006
j12039_5;4;1295.5;107;106;129;1.80328;0.983607;0.399959
j12039_6;4;1651;101;95;118;1.80328;0.983607;0.397951
j12039_7;4;1384;96;94;118;1.80328;0.983607;0.402965
j12039_8;4;1421;94;93;116;1.80328;0.983607;0.399931
j12039_9;4;1915;88;77;110;1.80328;0.983607;0.401196
j1203_1;4;386.5;79;79;100;1.5;0.245902;0.302208
j1203_10;4;216.5;103;103;103;1.5;0.245902;0.31166
j1203_2;4;157.5;88;88;88;1.5;0.245902;0.305
j1203_3;4;352.5;100;100;107;1.5;0.245902;0.293477
j1203_4;4;364;71;71;90;1.5;0.245902;0.299777
j1203_5;4;313;84;81;104;1.5;0.245902;0.302898
j1203_6;4;341.5;102;102;102;1.5;0.245902;0.300997
j1203_7;4;208.5;93;93;97;1.5;0.245902;0.30468
j1203_8;4;371;79;77;85;1.5;0.245902;0.302902
j1203_9;4;318.5;86;86;88;1.5;0.245902;0.306387
j12040_1;4;996.5;78;78;91;1.80328;0.983607;0.495502
j12040_10;4;1246.5;96;96;118;1.80328;0.983607;0.497465
j12040_2;4;1236;90;90;107;1.80328;0.983607;0.505442
j12040_3;4;997.5;98;87;109;1.80328;0.983607;0.501541
j12040_4;4;890;112;112;120;1.80328;0.983607;0.50454
j12040_5;4;820.5;101;101;119;1.80328;0.983607;0.496833
j12040_6;4;1022.5;90;90;99;1.80328;0.983607;0.498537
j12040_7;4;1060.5;91;91;103;1.80328;0.983607;0.503952
j12040_8;4;917;97;97;108;1.80328;0.983607;0.5
j12040_9;4;819;117;117;134;1.80328;0.983607;0.497367
j12041_1;4;434;119;103;150;2.10656;0.245902;0.102903
j12041_10;4;550;131;121;166;2.10656;0.245902;0.0943116
j12041_2;4;584.5;125;99;180;2.10656;0.245902;0.10049
j12041_3;4;431.5;130;119;182;2.10656;0.245902;0.096688
j12041_4;4;443.5;101;87;149;2.10656;0.245902;0.11162
j12041_5;4;362;141;115;163;2.10656;0.245902;0.091382
j12041_6;4;386;112;91;143;2.10656;0.245902;0.10989
j12041_7;4;430;101;91;142;2.10656;0.245902;0.104094
j12041_8;4;442;126;110;169;2.10656;0.245902;0.10619
j12041_9;4;452;109;95;160;2.10656;0.245902;0.104116
j12042_1;4;391.5;99;91;137;2.10656;0.245902;0.215729
j12042_10;4;380.5;113;102;144;2.10656;0.245902;0.198928
j12042_2;4;273.5;126;126;156;2.10656;0.245902;0.206104
j12042_3;4;337.5;110;100;134;2.10656;0.245902;0.193915
j12042_4;4;377.5;108;102;124;2.10656;0.245902;0.192183
j12042_5;4;526.5;120;108;158;2.10656;0.245902;0.183082
j12042_6;4;387.5;108;88;143;2.10656;0.245902;0.190046
j12042_7;4;241;124;118;140;2.10656;0.245902;0.202466
j12042_8;4;367;105;101;134;2.10656;0.245902;0.20101
j12042_9;4;339;107;96;124;2.10656;0.245902;0.201213
j12043_1;4;237;100;100;116;2.10656;0.245902;0.295006
j12043_10;4;194;111;111;132;2.10656;0.245902;0.294032
j12043_2;4;206.5;115;115;129;2.10656;0.245902;0.297905
j12043_3;4;244.5;96;95;121;2.10656;0.245902;0.29653
j12043_4;4;263.5;102;100;125;2.10656;0.245902;0.299316
j12043_5;4;252;101;98;122;2.10656;0.245902;0.305393
j12043_6;4;296.5;90;85;117;2.10656;0.245902;0.303768
j12043_7;4;224.5;125;117;148;2.10656;0.245902;0.307199
j12043_8;4;227.5;115;115;128;2.10656;0.245902;0.299445
j12043_9;4;306;108;101;117;2.10656;0.245902;0.307158
j12044_1;4;124;100;100;105;2.10656;0.245902;0.39651
j12044_10;4;195;104;98;118;2.10656;0.245902;0.396096
j12044_2;4;140.5;108;102;118;2.10656;0.245902;0.407699
j12044_3;4;169;107;107;114;2.10656;0.245902;0.391178
j12044_4;4;203.5;93;93;105;2.10656;0.245902;0.39026
j12044_5;4;160;94;94;105;2.10656;0.245902;0.405945
j12044_6;4;151;106;106;113;2.10656;0.245902;0.412799
j12044_7;4;215;102;98;107;2.10656;0.245902;0.400266
j12044_8;4;155;106;105;129;2.10656;0.245902;0.396928
j12044_9;4;180.5;91;91;96;2.10656;0.245902;0.402102
j12045_1;4;83;108;108;109;2.10656;0.245902;0.510611
j12045_10;4;68;99;99;103;2.10656;0.245902;0.504917
j12045_2;4;109.5;91;91;105;2.10656;0.245902;0.521428
j12045_3;4;100;99;98;109;2.10656;0.245902;0.496212
j12045_4;4;89;103;103;115;2.10656;0.245902;0.505435
j12045_5;4;81;114;114;124;2.10656;0.245902;0.513745
j12045_6;4;88;125;125;139;2.10656;0.245902;0.519203
j12045_7;4;99.5;103;103;109;2.10656;0.245902;0.516534
j12045_8;4;92;103;103;114;2.10656;0.245902;0.497277
j12045_9;4;84;114;114;114;2.10656;0.245902;0.5
j12046_1;4;1575.5;178;119;261;2.10656;0.493852;0.0952485
j12046_10;4;1579;150;105;244;2.10656;0.493852;0.0999619
j12046_2;4;1512;180;117;261;2.10656;0.493852;0.10063
j12046_3;4;1389;162;104;225;2.10656;0.493852;0.0958278
j12046_4;4;1674;151;90;221;2.10656;0.493852;0.0996466
j12046_5;4;1354;126;97;196;2.10656;0.493852;0.0978277
j12046_6;4;1437.5;138;97;217;2.10656;0.493852;0.099513
j12046_7;4;1200;149;106;238;2.10656;0.493852;0.107683
j12046_8;4;1680;157;96;236;2.10656;0.493852;0.0926321
j12046_9;4;1451.5;152;95;204;2.10656;0.493852;0.101821
j12047_1;4;1069;129;107;181;2.10656;0.493852;0.194494
j12047_10;4;1075;129;102;178;2.10656;0.493852;0.199353
j12047_2;4;989.5;122;107;168;2.10656;0.493852;0.20179
j12047_3;4;1024;122;99;161;2.10656;0.493852;0.208522
j12047_4;4;1151;126;106;166;2.10656;0.493852;0.203282
j12047_5;4;1045;116;106;159;2.10656;0.493852;0.198806
j12047_6;4;1198;129;100;184;2.10656;0.493852;0.201615
j12047_7;4;1206.5;113;86;151;2.10656;0.493852;0.206113
j12047_8;4;1359;124;81;197;2.10656;0.493852;0.203141
j12047_9;4;994.5;128;104;176;2.10656;0.493852;0.199904
j12048_1;4;781;98;95;128;2.10656;0.493852;0.302795
j12048_10;4;545;103;102;140;2.10656;0.493852;0.302092
j12048_2;4;776.5;100;88;139;2.10656;0.493852;0.304933
j12048_3;4;767;122;104;158;2.10656;0.493852;0.295751
j12048_4;4;852;125;105;167;2.10656;0.493852;0.303996
j12048_5;4;741;113;93;131;2.10656;0.493852;0.296742
j12048_6;4;681.5;97;94;135;2.10656;0.493852;0.3
j12048_7;4;764.5;108;102;132;2.10656;0.493852;0.300319
j12048_8;4;553.5;110;103;139;2.10656;0.493852;0.295922
j12048_9;4;593.5;113;101;150;2.10656;0.493852;0.305835
j12049_1;4;415.5;98;96;114;2.10656;0.493852;0.398587
j12049_10;4;458;91;87;124;2.10656;0.493852;0.405687
j12049_2;4;477.5;100;100;130;2.10656;0.493852;0.401049
j12049_3;4;529.5;95;93;115;2.10656;0.493852;0.400553
j12049_4;4;601;91;90;119;2.10656;0.493852;0.395139
j12049_5;4;395.5;95;82;113;2.10656;0.493852;0.39625
j12049_6;4;324.5;130;128;150;2.10656;0.493852;0.403613
j12049_7;4;488.5;100;97;124;2.10656;0.493852;0.397462
j12049_8;4;437;117;112;140;2.10656;0.493852;0.395887
j12049_9;4;467;104;97;117;2.10656;0.493852;0.397435
j1204_1;4;238.5;70;70;90;1.5;0.245902;0.410157
